ZenitSaintPetersburg,70,21,7,2,54,3.700
CSKAMoscow,58,17,7,6,29,2.074
SpartakMoscow,54,15,9,6,22,1.579
Rostov,53,15,8,7,4,1.091
AkhmatGrozny,50,15,5,10,12,1.308
Krasnodar,48,13,9,8,16,1.348
Orenburg,46,14,4,12,3,1.055
LokomotivMoscow,45,13,6,11,8,1.174
DynamoMoscow,45,13,6,11,4,1.089
Sochi,38,11,5,14,-17,0.685
UralYekaterinburg,36,10,6,14,-12,0.733
KryliaSovetovSamara,32,8,8,14,-13,0.711
FakelVoronezh,30,6,12,12,-12,0.750
PariNizhnyNovgorod,30,8,6,16,-17,0.660
Khimki,18,4,6,20,-42,0.373
TorpedoMoscow,13,3,4,23,-39,0.361
