"freq","","fAcumulada",""
28,0.03,28,0.03
20,0.021,48,0.051
169,0.178,217,0.229
131,0.138,348,0.367
103,0.109,451,0.475
112,0.118,563,0.593
7,0.007,570,0.601
39,0.041,609,0.642
0,0,609,0.642
52,0.055,661,0.697
18,0.019,679,0.715
12,0.013,691,0.728
18,0.019,709,0.747
15,0.016,724,0.763
0,0,724,0.763
3,0.003,727,0.766
75,0.079,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
0,0,802,0.845
11,0.012,813,0.857
0,0,813,0.857
0,0,813,0.857
0,0,813,0.857
0,0,813,0.857
0,0,813,0.857
0,0,813,0.857
0,0,813,0.857
136,0.143,949,1
